#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
1,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,1,Busco neumáticos 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
2,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,2,Necesito llantas 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
3,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,3,¿Qué opciones tienen en 205/55R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
4,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,4,Necesito llantas 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
5,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,5,¿Qué opciones tienen en 195/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
6,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,6,¿Tienen llantas 205/55R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
7,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,7,¿Qué opciones tienen en 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
8,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,8,¿Tienen llantas 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
9,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,9,Quiero comprar 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
10,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,10,¿Qué opciones tienen en 175/70R14?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
