#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
1,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,1,Necesito llantas 175/70R14 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
2,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,2,Necesito llantas 165/70R13 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
3,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,3,Necesito llantas 225/60R16 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1789 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1789 - $1789\\n\\n¿Cuál modelo le interesa?""}"
4,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,4,Necesito llantas 205/55R16 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
5,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,5,Necesito llantas 215/60R16 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
6,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,6,Necesito llantas 195/65R15 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
7,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,7,Necesito llantas 185/65R15 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
8,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,8,Consulta general sobre neumáticos - especificacion_completa 8,Gracias por su consulta. Nuestro equipo le ayudará con toda la información que necesite sobre neumáticos.
9,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,9,Consulta general sobre neumáticos - especificacion_completa 9,Gracias por su consulta. Nuestro equipo le ayudará con toda la información que necesite sobre neumáticos.
10,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,10,Consulta general sobre neumáticos - especificacion_completa 10,Gracias por su consulta. Nuestro equipo le ayudará con toda la información que necesite sobre neumáticos.
11,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,11,Consulta general sobre neumáticos - especificacion_completa 11,Gracias por su consulta. Nuestro equipo le ayudará con toda la información que necesite sobre neumáticos.
12,Especificacion Completa,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,12,Consulta general sobre neumáticos - especificacion_completa 12,Gracias por su consulta. Nuestro equipo le ayudará con toda la información que necesite sobre neumáticos.
13,Especificacion Parcial,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,13,Quiero llantas 55 para mi carro,🌟 Gracias por contactarnos! Veo que busca neumáticos de 55mm de ancho. Para una búsqueda precisa necesito el perfil y diámetro del aro. ¿Podría verificar la especificación completa en el lateral de su llanta actual?
