#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
1,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,1,"Buenas, quisiera información",¡Buenos días! Soy su asistente de ventas de Grupo Magno. ¿Cómo puedo asistirle?
2,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,1,Necesito llantas 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
3,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,2,"Buenos días, quiero cotizar","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
4,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,2,Necesito llantas 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
5,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,3,"Buenos días, vengo por llantas","¡Hola! Claro que sí, estamos para servirle. ¿En qué le ayudo?"
6,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,3,Necesito llantas 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
7,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,4,"Hola, ¿cómo están?","¡Buenos días! Perfecto, ¿qué tipo de llantas está buscando?"
8,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,4,Busco neumáticos 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
9,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,5,"Buenos días, necesito ayuda","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
10,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,5,Necesito llantas 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
11,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,6,"Hola, ¿cómo están?","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
12,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,6,Busco neumáticos 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
13,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,7,"Buenos días, necesito ayuda",¡Buenos días! Soy su asistente de ventas de Grupo Magno. ¿Cómo puedo asistirle?
14,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,7,Quiero ver precios de 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
15,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,8,"Hola, ¿me pueden atender?","¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
16,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,8,Me interesan las 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
17,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,9,"Buenas tardes, necesito ayuda","¡Hola! Sí, estamos abiertos y listos para atenderle. ¿Qué necesita?"
18,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,9,¿Tienen 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
19,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,10,¡Hola! Buenos días,"¡Buenos días! Perfecto, ¿qué tipo de llantas está buscando?"
