#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
1,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,1,"Hola, ¿me pueden atender?","¡Buenas tardes! Por supuesto, ¿qué información necesita?"
2,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,1,Busco neumáticos 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
3,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,2,"Buenas, quisiera información",¡Hola! Bienvenido a Llantasyservicios.mx (Grupo Magno). ¿En qué puedo ayudarle hoy?
4,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,2,Necesito llantas 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
5,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,3,¡Hola! Buenos días,¡Buenos días! Soy su asistente de ventas de Grupo Magno. ¿Cómo puedo asistirle?
6,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,3,Me interesan las 205/55R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
7,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,4,"Hola, ¿me pueden atender?","¡Hola! Claro que sí, estamos para servirle. ¿En qué le ayudo?"
8,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,4,¿Tienen 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
9,Saludo inicial,Respuesta cortés,Cliente,Satisfactorio,5,"Buenos días, necesito ayuda",¡Hola! Me da mucho gusto atenderle. ¿Qué necesita hoy?
10,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,5,Quiero ver precios de 205/55R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
