#,场景,子场景,数据来源,是否多轮,组别,测试数据,参考答案
1,催收多轮对话场景,无,FAQ相似问,多轮,1,Peter,"Hi Mr. Peter, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
2,催收多轮对话场景,无,FAQ相似问,多轮,1,Maybe I'll pay next month.,We’re required to follow up. Could you tell us your plan to settle this?
3,催收多轮对话场景,无,FAQ相似问,多轮,1,I don't think I owe anything.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
4,催收多轮对话场景,无,FAQ相似问,多轮,1,Stop bothering me.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
5,催收多轮对话场景,无,FAQ相似问,多轮,1,Can I pay part of it?,We’re required to follow up. Could you tell us your plan to settle this?
6,催收多轮对话场景,无,FAQ相似问,多轮,1,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
7,催收多轮对话场景,无,FAQ相似问,多轮,1,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
8,催收多轮对话场景,无,FAQ相似问,多轮,1,I'm going to complain to OJK.,Waiting until next month is too long. Could you try resolving it this week?
9,催收多轮对话场景,无,FAQ相似问,多轮,2,Brian,"Hi Mr. Brian, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
10,催收多轮对话场景,无,FAQ相似问,多轮,2,I don't have money now.,We’re required to follow up. Could you tell us your plan to settle this?
11,催收多轮对话场景,无,FAQ相似问,多轮,2,I don't think I owe anything.,We’re required to follow up. Could you tell us your plan to settle this?
12,催收多轮对话场景,无,FAQ相似问,多轮,2,I don't have money now.,Our records confirm the balance. Can you check and update us by today?
13,催收多轮对话场景,无,FAQ相似问,多轮,2,I already paid it.,Waiting until next month is too long. Could you try resolving it this week?
14,催收多轮对话场景,无,FAQ相似问,多轮,2,I'll try asking my family.,We’re required to follow up. Could you tell us your plan to settle this?
15,催收多轮对话场景,无,FAQ相似问,多轮,3,Joe,"Hi Mr. Joe, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
16,催收多轮对话场景,无,FAQ相似问,多轮,3,I'm going to complain to OJK.,"We understand it’s stressful. Still, when can you complete the payment?"
17,催收多轮对话场景,无,FAQ相似问,多轮,3,Maybe I'll pay next month.,We’re required to follow up. Could you tell us your plan to settle this?
18,催收多轮对话场景,无,FAQ相似问,多轮,3,Stop bothering me.,Waiting until next month is too long. Could you try resolving it this week?
19,催收多轮对话场景,无,FAQ相似问,多轮,3,Stop bothering me.,Our records confirm the balance. Can you check and update us by today?
20,催收多轮对话场景,无,FAQ相似问,多轮,3,I don't have money now.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
21,催收多轮对话场景,无,FAQ相似问,多轮,3,I don't think I owe anything.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
22,催收多轮对话场景,无,FAQ相似问,多轮,3,I don't have money now.,When exactly is your salary due? It will help us avoid escalation.
23,催收多轮对话场景,无,FAQ相似问,多轮,3,Stop bothering me.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
24,催收多轮对话场景,无,FAQ相似问,多轮,4,Jim,"Hi Mr. Jim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
25,催收多轮对话场景,无,FAQ相似问,多轮,4,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
26,催收多轮对话场景,无,FAQ相似问,多轮,4,Stop bothering me.,Our records confirm the balance. Can you check and update us by today?
27,催收多轮对话场景,无,FAQ相似问,多轮,4,I don't have money now.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
28,催收多轮对话场景,无,FAQ相似问,多轮,4,I don't think I owe anything.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
29,催收多轮对话场景,无,FAQ相似问,多轮,4,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
30,催收多轮对话场景,无,FAQ相似问,多轮,5,Jason,"Hi Mr. Jason, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
31,催收多轮对话场景,无,FAQ相似问,多轮,5,Maybe I'll pay next month.,Our records confirm the balance. Can you check and update us by today?
32,催收多轮对话场景,无,FAQ相似问,多轮,5,I'm going to complain to OJK.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
33,催收多轮对话场景,无,FAQ相似问,多轮,5,Maybe I'll pay next month.,When exactly is your salary due? It will help us avoid escalation.
34,催收多轮对话场景,无,FAQ相似问,多轮,5,I already paid it.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
35,催收多轮对话场景,无,FAQ相似问,多轮,5,I don't think I owe anything.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
36,催收多轮对话场景,无,FAQ相似问,多轮,5,I'm very stressed about this.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
37,催收多轮对话场景,无,FAQ相似问,多轮,5,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
38,催收多轮对话场景,无,FAQ相似问,多轮,5,I'm waiting for my salary.,We’re required to follow up. Could you tell us your plan to settle this?
39,催收多轮对话场景,无,FAQ相似问,多轮,6,Mark,"Hi Mr. Mark, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
40,催收多轮对话场景,无,FAQ相似问,多轮,6,I don't think I owe anything.,We’re required to follow up. Could you tell us your plan to settle this?
41,催收多轮对话场景,无,FAQ相似问,多轮,6,Why is the amount so high?,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
42,催收多轮对话场景,无,FAQ相似问,多轮,6,I'm very stressed about this.,When exactly is your salary due? It will help us avoid escalation.
43,催收多轮对话场景,无,FAQ相似问,多轮,6,I'm very stressed about this.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
44,催收多轮对话场景,无,FAQ相似问,多轮,6,I'm waiting for my salary.,When exactly is your salary due? It will help us avoid escalation.
45,催收多轮对话场景,无,FAQ相似问,多轮,7,Brian,"Hi Mr. Brian, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
46,催收多轮对话场景,无,FAQ相似问,多轮,7,Why is the amount so high?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
47,催收多轮对话场景,无,FAQ相似问,多轮,7,Why is the amount so high?,When exactly is your salary due? It will help us avoid escalation.
48,催收多轮对话场景,无,FAQ相似问,多轮,7,Can I pay part of it?,Waiting until next month is too long. Could you try resolving it this week?
49,催收多轮对话场景,无,FAQ相似问,多轮,7,Stop bothering me.,Waiting until next month is too long. Could you try resolving it this week?
50,催收多轮对话场景,无,FAQ相似问,多轮,7,I don't have money now.,We’re required to follow up. Could you tell us your plan to settle this?
51,催收多轮对话场景,无,FAQ相似问,多轮,7,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
52,催收多轮对话场景,无,FAQ相似问,多轮,8,Jim,"Hi Mr. Jim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
53,催收多轮对话场景,无,FAQ相似问,多轮,8,I already paid it.,That’s a good step. Can you confirm if you’ll pay within a few days?
54,催收多轮对话场景,无,FAQ相似问,多轮,8,I'm very stressed about this.,"We understand it’s stressful. Still, when can you complete the payment?"
55,催收多轮对话场景,无,FAQ相似问,多轮,8,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
56,催收多轮对话场景,无,FAQ相似问,多轮,8,I don't think I owe anything.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
57,催收多轮对话场景,无,FAQ相似问,多轮,8,I don't think I owe anything.,Our records confirm the balance. Can you check and update us by today?
58,催收多轮对话场景,无,FAQ相似问,多轮,8,I'm going to complain to OJK.,We’re required to follow up. Could you tell us your plan to settle this?
59,催收多轮对话场景,无,FAQ相似问,多轮,8,I'm going to complain to OJK.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
60,催收多轮对话场景,无,FAQ相似问,多轮,8,I'm waiting for my salary.,That’s a good step. Can you confirm if you’ll pay within a few days?
61,催收多轮对话场景,无,FAQ相似问,多轮,9,Kevin,"Hi Mr. Kevin, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
62,催收多轮对话场景,无,FAQ相似问,多轮,9,Maybe I'll pay next month.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
63,催收多轮对话场景,无,FAQ相似问,多轮,9,Maybe I'll pay next month.,We’re required to follow up. Could you tell us your plan to settle this?
