#,问题,回复来源,问题来源,是否满意,序号,问题内容,参考答案
1,产品规格咨询,FAQ标准答案,FAQ来源,满意,1,我的车是丰田卡罗拉，需要什么尺寸的轮胎?,您好！丰田卡罗拉常用轮胎规格为195/65R15或205/55R16，具体规格请查看您车辆轮胎侧面标识或查阅车辆说明书，我们也可以根据您的车型年份为您精确推荐。
2,产品规格咨询,FAQ标准答案,FAQ来源,满意,2,225/50R17这个规格是什么意思?,您好！225表示轮胎宽度225毫米，50是扁平率(胎壁高度与宽度比)，R表示子午线轮胎，17是轮辋直径17英寸。这是一款中等宽度、运动性较好的轮胎规格。
3,品牌咨询,FAQ标准答案,FAQ来源,满意,3,米其林和普利司通哪个品牌更好?,您好！米其林以舒适性和静音性著称，普利司通在运动性能和耐磨性方面表现优异。建议根据您的驾驶习惯选择：日常舒适驾驶推荐米其林，运动驾驶推荐普利司通。
4,价格咨询,FAQ标准答案,FAQ来源,满意,4,195/65R15的轮胎大概多少钱?,您好！195/65R15轮胎价格根据品牌不同，经济型品牌200-400元/条，中端品牌400-800元/条，高端品牌800-1500元/条。具体价格请提供您偏好的品牌，我为您精确报价。
5,库存查询,FAQ标准答案,FAQ来源,满意,5,米其林225/55R17现在有库存吗?,您好！正在为您查询米其林225/55R17轮胎库存...该规格目前有充足库存，多个花纹可选，包括PRIMACY 4和PILOT SPORT 4，现货可立即发送。
6,订单查询,FAQ标准答案,FAQ来源,满意,6,我的订单号是TY202501001，请帮我查询物流状态,您好！订单TY202501001已为您查到：4条米其林225/60R16轮胎已于昨日发货，快递单号SF1234567890，预计明日送达，请保持手机畅通。
7,安装服务,FAQ标准答案,FAQ来源,满意,7,你们提供上门安装服务吗?,您好！我们提供专业的上门安装服务，市区内免费上门，郊区根据距离收取50-100元服务费。安装包含拆装、动平衡、气压调节，全程约45分钟。
8,退换货政策,FAQ标准答案,FAQ来源,满意,8,轮胎买错规格了可以退货吗?,您好！轮胎未安装且包装完好的情况下，7天内可无理由退货。已安装的轮胎如因我们推荐错误导致，我们承担全部责任并免费更换正确规格。
9,质保服务,FAQ标准答案,FAQ来源,满意,9,轮胎质保期是多久?,您好！品牌轮胎质保期一般为3年或6万公里（以先到为准），包含制造缺陷、异常磨损等。质保不包含正常磨损、外力损伤、使用不当造成的损坏。
10,季节性咨询,FAQ标准答案,FAQ来源,满意,10,冬天需要换冬季胎吗?,您好！如果您所在地区冬季温度低于7℃且有雨雪天气，建议使用冬季轮胎。冬季胎采用特殊橡胶配方，低温下保持柔软，提供更好的抓地力和安全性。
11,适配查询,FAQ标准答案,FAQ来源,满意,11,我的车是2020款本田雅阁，适合什么轮胎?,您好！2020款本田雅阁原配轮胎规格为235/45R18，推荐米其林PRIMACY 4或普利司通TURANZA T005，均具有良好的舒适性和静音性，适合家用轿车。
